country,year,reporting_level,welfare_type,ppp_version,survey_year,survey_comparability,headcount_ratio_international_povline,headcount_ratio_lower_mid_income_povline,headcount_ratio_upper_mid_income_povline,headcount_ratio_100,headcount_ratio_1000,headcount_ratio_2000,headcount_ratio_3000,headcount_ratio_4000,headcount_ratio_40_median,headcount_ratio_50_median,headcount_ratio_60_median,headcount_international_povline,headcount_lower_mid_income_povline,headcount_upper_mid_income_povline,headcount_100,headcount_1000,headcount_2000,headcount_3000,headcount_4000,headcount_40_median,headcount_50_median,headcount_60_median
Albania,2018,national,income,2011,2018,4,4.566242859,12.55722598107257,32.38565730013001,1.1511556811174302,67.80092541282066,93.35177648409548,98.75253873077536,99.68296266497764,11.45020448747247,17.6749242,24.41647548314648,130886,359937,928295,32996,1943429,2675813,2830619,2857289,328206,506630,699868
Albania,2019,national,consumption,2011,2019,3,0,1.198593923,9.962061995,0,43.84404639324294,85.64406841111867,95.80728326378272,98.82216788,3.977019576,9.215006949,16.57650595552002,0,34210,284336,0,1251393,2444445,2734523,2820573,113512,263014,473125
Algeria,1988,national,consumption,2011,1988,0,6.250912528243931,24.466636319702054,57.04516382234305,0,86.91691091509529,97.46062090562984,99.02948164020016,99.51914956437734,7.231180978445311,13.85694878471936,20.97476710680364,1527940,5980495,13943819,0,21245511,23822760,24206244,24325935,1767552,3387119,5126961
Algeria,1995,national,consumption,2011,1995,1,5.624111328,23.54044921874999,54.59161880224782,0.357830811,85.50964482226026,97.74488965984511,99.65751406,99.999,7.332753906,14.16732422,21.6365332,1617370,6769712,15699342,102904,24590682,28109268,28659297,28757500,2108738,4074209,6222188
Algeria,2011,national,consumption,2011,2011.17,2,0.449365234,3.744604492,28.593149414062506,0.101534424,76.68977908288103,97.11074817831224,99.38888164,99.999,2.2434399414062502,6.258749999999989,13.215366210937498,164744,1372826,10482660,37224,28115576,35602197,36437393,36661071,822477,2294548,4844943
Angola,2000,national,consumption,2011,2000.21,0,36.37447783780093,59.678611294677786,80.54871445737817,16.796767924832732,93.06696461079224,97.99208425587548,99.07764923342076,99.48764734999004,17.70380957191337,23.44608054653903,28.83104912412886,5963769,9784593,13206346,2753910,15258773,16066270,16244253,16311474,2902624,3844097,4726988
Angola,2008,national,consumption,2011,2008.5,1,34.44685654028125,60.60456763425691,82.92112596469661,9.506262235,95.60148359,99.22883032775378,99.71062656435812,99.91943000356775,10.52693893280091,17.11259103,24.76062914942478,7473465,13148546,17990266,2062444,20741350,21528326,21632855,21678156,2283886,3712685,5371976
Angola,2018,national,consumption,2011,2018.17,2,49.90295419834461,71.48482593603393,88.48117831075346,24.64790274700133,96.85351091,99.30713501278568,99.64931395418476,99.77762812019988,15.718253430674409,22.79037353043551,29.14511599,15374994,22024323,27260863,7593966,29840360,30596317,30701741,30741275,4842760,7021666,8979548
Argentina,1980,urban,income,2011,1980,0,0.479876709,1.785767822,7.552436523437491,0.174761963,23.93099609,57.13345161808012,77.23707213400249,87.15310483,12.800410156249988,19.31766113281249,25.90813965,110960,412916,1746320,40410,5533468,13210738,17859218,20152062,2959787,4466745,5990635
Argentina,1986,urban,income,2011,1986,0,1.224447897,2.296636527,6.386511512,1.119132113,21.89160386526767,55.13958737053535,75.18247647,84.6760751,10.56083563795107,17.61332145115479,24.59991056044778,321182,602425,1675229,293557,5742328,14463516,19720912,22211153,2770184,4620103,6452736
Argentina,1987,urban,income,2011,1987,0,1.430374652,3.25723519,10.30756556936133,0.886794791,27.96050867254296,61.81155881,79.04476531,87.53568971828881,12.88478892880594,18.72449386082168,25.69625869167989,382906,871950,2759298,237392,7484926,16546728,21159994,23432984,3449211,5012478,6878794
Argentina,1991,urban,income,2011,1991,1,1.281598375,5.508654149,18.98641766658016,0.7662974353536101,46.06502035567348,78.38162568258731,89.47569954547942,93.50282268,10.91527199863028,17.21424057398389,23.70645516,370218,1591298,5484650,221362,13306909,22642281,25847052,27010376,3153120,4972717,6848138
Argentina,1992,urban,income,2011,1992,1,2.461977923,6.110275783632161,18.37707408062406,1.215778582,44.65561229585742,75.74826222124054,87.66574768413712,92.99122331324388,12.36078384945482,19.55883620332938,25.750614509944057,722646,1793503,5394082,356858,13107421,22233809,25731858,27295004,3628167,5740956,7558381
Argentina,1993,urban,income,2011,1993,1,2.818199472,7.026528521873559,17.842961202941098,1.1870019,42.72729349676151,75.12762401,88.14374217033543,93.53934728,13.61526598965056,20.09194929613933,26.133674506802528,840090,2094569,5318888,353839,12736769,22395128,26275160,27883560,4058635,5989299,7790303
Argentina,1994,urban,income,2011,1994,1,2.67456148,6.760663240253651,20.64288921657324,1.507055796,44.55991610895106,75.99162733495346,88.41073674505509,93.47043618428442,13.82271372717579,20.72249544,26.59362093551851,809338,2045816,6246660,456044,13484093,22995513,26753609,28284704,4182834,6270749,8047386
Argentina,1995,urban,income,2011,1995,1,4.924876661,10.17540376580666,24.55846635848486,2.466719152,49.30150857123335,78.90375551588902,88.70017883542339,93.75497124814189,15.6380958,21.19430084422136,28.02906786183372,1512228,3124450,7540900,757428,15138475,24228113,27236194,28788313,4801819,6507902,8606579
Argentina,1996,urban,income,2011,1996,1,5.302168673,12.02962133202975,26.30922158300912,2.994145299,50.50961009634234,78.83928337292848,88.64941114070429,93.82392725019628,16.13297976070728,22.489200953619783,28.52715306440016,1651404,3746723,8194221,932551,15731629,24555136,27610580,29222225,5024748,7004444,8885014
Argentina,1997,urban,income,2011,1997,1,4.820756940074309,11.182163681884049,25.13460163292033,2.445342181,48.29465459396622,76.86247340138164,87.68931917853368,92.75689555097895,16.65621228072938,22.22956284061027,29.80010381537803,1522378,3531288,7937420,772231,15251284,24272902,27691983,29292306,5259974,7020019,9410769
Argentina,1998,urban,income,2011,1998,1,5.575853883,12.530877286122193,27.850191142829427,2.388157078,51.46563253739858,78.27343090414458,88.31414685290937,93.33123633954656,16.543516876152882,23.020370813119868,28.94319402600804,1784806,4011078,8914723,764439,16473921,25054979,28268968,29874916,5295507,7368719,9264588
Argentina,1999,urban,income,2011,1999,1,5.529384974,13.063400304451989,28.483677075311643,2.689452509,52.31900862863876,79.53468158783605,89.31036440376886,94.17012368417588,16.69822936353277,22.47345564,29.404949409012648,1793640,4237548,9239626,872413,16971407,25799715,28970782,30547206,5416625,7290011,9538472
Argentina,2000,urban,income,2011,2000,1,6.791716882146839,15.06284399,31.48535527397788,3.2485096974548098,54.15149315,79.98295552807717,89.45437173,94.22717226771898,17.789799814554748,24.47724366539762,31.20260014328892,2232258,4950760,10348407,1067700,17798169,26288290,29401295,30969989,5847038,8045025,10255472
Argentina,2001,urban,income,2011,2001,1,10.67957347680381,19.20714302579091,36.91332249631622,5.378640203,59.24978875185886,82.07211239947684,90.59897411144271,94.40651671608032,19.92316380652836,25.06668091,31.077264434869463,3556080,6395587,12291383,1790977,19728971,27328339,30167610,31435444,6634007,8346693,10348095
Argentina,2002,urban,income,2011,2002,1,16.94100342048484,30.259113322108128,49.85426902412545,6.330302632,73.16669287248556,90.05928930204057,95.01317540045346,97.53160912516763,20.30762520046489,25.93698632826069,31.270497553236137,5714019,10206075,16815311,2135143,24678341,30376033,32046926,32896366,6849544,8748267,10547204
Argentina,2003,urban,income,2011,2003,2,7.86846218,17.332336043860618,33.694648274094305,2.32420262,58.01442169001968,82.34177434218874,91.46320094393072,95.26856089383406,17.78625685338621,24.48366124129906,30.01920555656266,2687826,5920637,11509918,793936,19817427,28127525,31243357,32543249,6075694,8363492,10254406
Argentina,2004,urban,income,2011,2004,2,5.741770815992011,13.90442501878838,29.23691973869686,1.553318384,52.44940174900451,79.53387408541079,90.04354907344663,94.80178195,17.97725659527875,24.08317660042518,30.35851158577481,1986014,4809385,10112724,537275,18141663,27509879,31145059,32790878,6218132,8330102,10500670
Argentina,2005,urban,income,2011,2005,2,4.169149867,11.16050772821174,25.007701435368467,0.958899734,47.69241061212162,76.64606234951205,88.66910931457828,93.60833383987456,16.978531032780992,23.620168823728648,29.55122974143668,1459857,3907929,8756619,335765,16699826,26838146,31048099,32777602,5945149,8270765,10347566
Argentina,2006,urban,income,2011,2006,2,3.2612633032119698,8.791077979,20.31843100943488,0.972859539,41.68389089733857,72.17715101476244,86.18428099598371,92.35580489919892,16.74130138,22.97757229862514,29.09093726,1155774,3115511,7200744,344776,14772549,25579198,30543251,32730406,5933028,8143129,10309673
Argentina,2007,urban,income,2011,2007,2,2.6050105194876503,7.196721925390411,19.24057019862884,0.725999723,40.36661400186452,71.10284451,85.53800584564456,91.94406697761832,16.538931012848572,23.21731266972603,29.28424756009421,934186,2580825,6899883,260352,14475919,25498274,30674884,32972169,5931045,8325988,10501658
Argentina,2008,urban,income,2011,2008,2,2.486261278,6.980932408,17.11024425168087,0.678502271,37.93586687984807,69.48416879479728,84.48942706187017,91.76696499524712,15.80481612239463,21.90040147042984,28.30595150722516,902129,2533001,6208378,246192,13764865,25212030,30656624,33297247,5734709,7946466,10270692
Argentina,2009,urban,income,2011,2009,2,2.342289292,6.135280928,15.61231504240746,0.6139318318234199,35.358127309302674,67.68531936877054,83.34218014753706,91.21758848515124,15.95370062665918,22.14033503983347,28.21293660494756,859954,2252522,5731943,225400,12981469,24850153,30598451,33489847,5857280,8128656,10358166
Argentina,2010,urban,income,2011,2010,2,1.442093077,4.930344965769979,14.07072185034846,0.357656994,34.25303756471397,66.89898886458646,82.84189662,90.59333129599123,14.91805625278797,21.585410475262982,28.351286972727607,534381,1826984,5214033,132533,12692772,24790024,30697812,33570176,5528020,7998669,10505825
Argentina,2011,urban,income,2011,2011,2,1.13540051,3.318589391,11.62152324,0.371064121,30.65767446129938,63.30743970117998,80.76275500904751,89.35597534599593,14.16708505348101,20.67056278925361,27.347484151085983,426273,1245926,4363165,139312,11510065,23768038,30321431,33547655,5318866,7760521,10267293
Argentina,2012,urban,income,2011,2012,2,1.155553782,3.4965819145505903,10.66431735,0.356921222,29.74384289022156,62.62364548968122,80.77765610053818,89.95889652597627,13.44822055547362,20.21813792024069,26.70304792381184,439431,1329672,4055403,135729,11310921,23814378,30717945,34209366,5114059,7688508,10154575
Argentina,2013,urban,income,2011,2013,2,1.015866253,3.2226423774731603,10.79385653662287,0.300652524,29.400837070612862,62.05612102528409,80.79850545702682,89.75043572914295,13.76214857734542,20.17892109669326,27.12826228,391208,1241032,4156688,115781,11322191,23897661,31115307,34562674,5299770,7770853,10447028
Argentina,2014,urban,income,2011,2014,2,0.928841201,3.631502204,11.79426317344665,0.332911625,33.46549680772491,66.06306417742883,82.85709026012722,91.08976754,12.986627817734888,20.21038870924439,26.69873823585697,362156,1415927,4598596,129803,13048234,25758061,32306070,35516000,5063500,7880053,10409867
Argentina,2016,urban,income,2011,2016,2,1.07087745,3.564559239,11.51077023286037,0.342845262,31.33052697407333,64.72672858592058,81.72228307931464,90.12165516222818,13.68721717235358,20.713871916208408,27.17548153335429,427714,1423704,4597464,136934,12513584,25852209,32640326,35995081,5466749,8273234,10854036
Argentina,2017,urban,income,2011,2017,2,0.918538222,3.104607794,9.821834052,0.217120666,28.39226096208012,61.24543507916528,79.81985305743831,89.34521397106585,12.93914202206137,19.68046008513552,26.43664106155151,371187,1254593,3969069,87740,11473504,24749693,32255741,36105003,5228795,7953007,10683225
Argentina,2018,urban,income,2011,2018,2,1.369831455,4.023544972,12.38280797,0.360718605,32.62386808202463,66.39512136,83.66473124,91.36057304386424,13.61139474578007,20.23538502732417,26.806520422594687,559947,1644708,5061733,147451,13335691,27140399,34199715,37345552,5563943,8271638,10957728
Argentina,2019,urban,income,2011,2019,2,1.300301202,4.769140552,14.4924504,0.38322153,35.61925916711832,68.22660707780611,84.18266177398289,91.63464801997353,14.499227891851548,21.19709992980835,27.49509635803072,537539,1971542,5991117,158422,14724849,28204587,34800751,37881370,5993919,8762790,11366355
Argentina,2020,urban,income,2011,2020,2,1.640418985,5.8437928623408295,18.18957926018831,0.33041031,41.47348571227359,73.54688979397012,87.96235435886601,93.91862331331276,14.33560856559342,21.20342711,28.302174821899463,685646,2442530,7602697,138102,17334669,30740386,36765616,39255158,5991853,8862394,11829457
Armenia,1996,national,income,2011,1996,0,14.216142578124998,36.68479248046875,65.65373503594273,1.718642578,87.77918523184256,97.03574324703791,98.73333851,99.30816027558616,9.651625977,16.73028809,24.02863281,450398,1162252,2080050,54450,2781032,3074299,3128082,3146294,305784,530051,761278
Armenia,1999,national,consumption,2011,1999,1,12.21169122883909,44.84194379,78.20632224839753,1.331288007,94.82276885991344,98.81663288226592,99.63293705,99.8192078,4.623897442,9.324494604,15.99737029529392,377222,1385177,2415809,41124,2929094,3052466,3077681,3083435,142833,288036,494162
Armenia,2001,national,consumption,2011,2001,1,14.36108621730068,47.40033809371757,80.98281862504513,0.919329794,94.59328675222513,99.17667837454223,99.73055750109212,99.8973822,3.935695202,9.26770242,15.85948680154799,438112,1446035,2470532,28046,2885744,3025569,3042466,3047555,120066,282729,483823
Armenia,2002,national,consumption,2011,2002,1,10.51450636610311,43.75913170528073,79.70152369025256,0.918388645,94.57315800459196,99.01899394698393,99.65560425798373,99.82780212899186,3.271759549,7.341891046,14.22980588603631,319008,1327642,2418125,27864,2869327,3004213,3023527,3028752,99264,222751,431729
Armenia,2003,national,consumption,2011,2003,1,7.851497504159729,39.68905990016639,78.89455074875208,0.207986689,95.43469217970048,98.76767887,99.58402662229616,99.83881031613976,1.851081531,6.229201331,13.321547420965048,236953,1197791,2380989,6277,2880160,2980747,3005384,3013073,55864,187993,402036
Armenia,2004,national,consumption,2011,2004,1,5.475655956,29.04447874280904,68.12122912866563,0.634909499,91.00603339413496,97.73396941209484,99.0353585,99.56503437631542,3.795425845,8.043356251,14.420513540058929,164309,871542,2044124,19052,2730832,2932718,2971769,2987663,113890,241358,432719
Armenia,2005,national,consumption,2011,2005,1,2.685916932,19.477480187319728,61.260361298797626,0.3402745333663199,89.51670357154858,97.39679690672918,98.76930623758813,99.51765208692136,2.732870995,6.910645671079959,13.246083218126689,80074,580675,1826332,10144,2668727,2903654,2944572,2966882,81474,206024,394900
Armenia,2006,national,consumption,2011,2006,1,2.1420064314138902,15.51436060426042,55.85494298,0.052944529,90.29555873415686,98.78022189839096,99.67619435158848,99.84694347300425,2.878960018,7.002121538,13.91430919370634,63367,458961,1652357,1566,2671214,2922216,2948722,2953773,85168,207144,411627
Armenia,2007,national,consumption,2011,2007,1,1.628520611,13.78381201964527,48.36598375635717,0.122276012,85.20439430663109,98.05371101868477,99.43184209883316,99.84567161,3.5443715725004004,8.223758919847329,15.95141703466398,47758,404226,1418388,3586,2498717,2875538,2915953,2928089,103943,241171,467794
Armenia,2008,national,consumption,2011,2008,1,0.8928084861308799,9.30633127,45.48455905364245,0.085569404,85.07230734364532,98.68475118659302,99.63913655978348,99.86468514488908,2.096220173,6.432164852605659,12.98248664716731,25959,270592,1322516,2488,2473575,2869373,2897122,2903681,60950,187023,377481
Armenia,2009,national,consumption,2011,2009,1,1.334730108,13.88233580453662,54.32953986644872,0.030430431,89.37475551242187,99.15667024912112,99.82692212702028,99.93864706323224,1.892762101,5.742757521,12.68796350881371,38548,400935,1569088,879,2581227,2863738,2883095,2886322,54665,165856,366440
Armenia,2010,national,consumption,2011,2010,1,0.974466365,14.10767358305286,54.960626259626686,0.061528961,89.28008990896234,98.81236946,99.66200274700304,99.75088564843016,1.7585829659165002,6.080080082,12.565913387839132,28038,405922,1581390,1770,2568869,2843142,2867589,2870146,50600,174943,361561
Armenia,2011,national,consumption,2011,2011,1,1.208877421,13.14456480667719,51.25518503959999,0.049402253,87.99869689463974,98.80225769,99.59021814,99.79761206412924,2.406558301,6.527971417,13.66713048,34774,378108,1474374,1421,2531314,2842083,2864748,2870714,69226,187779,393140
Armenia,2012,national,consumption,2011,2012,1,0.916995521,11.26253153629848,48.28625610992934,0.103248469,87.84504972710134,98.48912318047093,99.31821874,99.67350328,1.981180203,7.339090018,13.48056262981934,26448,324838,1392691,2978,2533661,2840662,2864575,2874822,57142,211677,388812
Armenia,2013,national,consumption,2011,2013,1,1.76707741,11.36917366373955,46.07609860293579,0.185580748,84.71046633584771,98.59127344043095,99.60308137610764,99.79621489,3.023518944,8.006752124,15.12747948626052,51203,329432,1335098,5377,2454565,2856774,2886092,2891688,87609,232003,438333
Armenia,2014,national,consumption,2011,2014,1,1.541668061,11.412306603750247,44.89415254883669,0.055941205,85.14582729737013,97.83757856477072,98.96194144173452,99.58138942,3.838015153,8.420474388,16.280452629438923,44900,332372,1307499,1629,2479790,2849425,2882171,2900211,111778,245238,474152
Armenia,2015,national,consumption,2011,2015,1,1.260682075,9.462474142,39.79561532054603,0.149677121,83.03680120434181,97.02628233258557,98.59429213296563,99.32965658872185,4.229192527,8.815012393,16.30001509831234,36882,276830,1164244,4379,2429291,2838561,2884434,2905948,123728,257888,476867
Armenia,2016,national,consumption,2011,2016,1,1.162991091,9.576053302,37.54998412424885,0.034144279,77.05049751936095,98.02138687192397,99.49424165774798,99.70900910818185,5.142223921,11.76695287189194,20.30396229924728,34147,281167,1102523,1003,2262316,2878052,2921297,2927603,150983,345495,596154
Armenia,2017,national,consumption,2011,2017,1,0.880793161,8.09685316,41.48416279676477,0.024048561,82.04486098056708,97.09042231772568,98.79663736,99.32494661604912,2.979491404,6.899354959,13.616306708707352,25938,238435,1221621,708,2416048,2859108,2909353,2924910,87740,203171,400972
Armenia,2018,national,consumption,2011,2018,1,1.409536816,9.429495439,42.49042314564736,0.017202387,82.90637647,96.55534589,98.26598174502205,99.05060621,3.6630349856428697,7.835563372505621,13.94358025803738,41606,278334,1254207,508,2447182,2850064,2900557,2923717,108123,231286,411578
Armenia,2019,national,consumption,2011,2019,2,1.078998859,9.845612538522811,44.020432288873415,0,86.84385152776713,97.96625289292834,99.53207946,99.71517582922442,2.865038629,7.235273343262411,13.65242000442951,31914,291206,1302005,0,2568605,2897575,2943888,2949304,84740,214000,403801
Armenia,2020,national,consumption,2011,2020,2,0.388134611,6.864735213,44.69698519098956,0.02831426,89.05458138807548,99.20218543304104,99.79655211,99.90929592932784,1.735611258,4.818342442,9.641802942,11501,203418,1324476,839,2638896,2939593,2957205,2960546,51430,142779,285709
Australia,1981,national,income,2011,1981,0,0.993503051,1.246238095,1.747674218,0.495952107,4.248756377,23.24761597446242,52.49386648228764,70.24249919790059,6.244298052,10.478995,15.98841022417059,148300,186026,260875,74031,634212,3470172,7835759,10485098,932086,1564200,2386590
Australia,1985,national,income,2011,1985,1,1.001309756,1.337001581,1.676561157,0.66827303,4.009932666,22.35932626235187,51.33740766,69.68973882844493,6.004843652,10.68977575972543,16.33676017024921,157786,210685,264193,105306,631885,3523383,8089749,10981709,946243,1684495,2574347
Australia,1989,national,income,2011,1989,2,0.7442749773601199,0.995125447,1.499488755,0.498228361,4.4922044176390905,22.48975297611444,49.74659551588506,67.24221989694547,6.499780403845009,11.24973336504533,17.49428258579517,125145,167324,252130,83774,755337,3781517,8364592,11306376,1092899,1891575,2941559
Australia,1995,national,income,2011,1995,2,0.749782267,1.221601584,1.749768648,0.749782267,3.939467021,27.49841025,55.24938261901711,72.73865486,5.247488194196031,10.23130178007954,16.99987373881924,135501,220768,316218,135501,711940,4969513,9984668,13145330,948326,1849001,3072217
Australia,2001,national,income,2011,2001,2,0.747411616,0.992064921,1.4768275365518602,0.747411616,3.2447571997086104,19.9977636,46.73044487334963,64.73372224380763,5.990062911,10.23891372789121,17.49731789697277,145095,192590,286697,145095,629905,3882166,9071781,12566757,1162851,1987680,3396754
Australia,2003,national,income,2011,2003,2,0.997330711,1.2412744,1.4989561883131002,0.739907213,2.99947963,18.24903553620332,44.49461421002664,62.74428907985608,5.958544257,10.48542274581782,17.24681611130442,198423,246957,298223,147207,596758,3630719,8852381,12483227,1185476,2086117,3431323
Australia,2004,national,income,2011,2004,3,0.499275906,0.7125371959930601,0.995895602,0.499275906,1.991352327,13.739228541882282,38.74768843239199,57.99460073635247,4.737543058,9.74283704,17.23062309218327,100491,143415,200448,100491,400807,2765349,7798902,11672805,953544,1960980,3468076
Australia,2008,national,income,2011,2008,2,0.36123244,0.669452946,0.669452946,0.36123244,1.335108683,8.335524095,26.33582059,44.68837334,5.391450076,10.33726820025498,18.33528701278162,76759,142253,142253,76759,283700,1771232,5596151,9495922,1145640,2196587,3896102
Australia,2010,national,income,2011,2010,3,0.349168412,0.677649163,0.677649163,0.349168412,1.675720716,8.334249219,25.00391398694159,44.34056849,6.001392632,10.34047083774343,18.00035063517047,76928,149298,149298,76928,369191,1836181,5508800,9769003,1322212,2278187,3965792
Australia,2014,national,income,2011,2014,2,0.4984838031620799,0.74441491,0.74441491,0.4984838031620799,1.478187871,6.241821933377191,20.23786423,38.74802831448213,5.240129442,9.989674771,16.74688892703265,117022,174757,174757,117022,347015,1465311,4750977,9096365,1230156,2345145,3931447
Australia,2016,national,income,2011,2016,2,0.498741779,0.498741779,0.747486751,0.24475048,1.4906426651304598,6.741067962,21.24447407781117,39.74033999226335,5.744942726,10.73517353,17.47985751353481,120650,120650,180824,59207,360600,1630725,5139231,9613549,1389754,2596936,4228536
Australia,2018,national,income,2011,2018,2,0.497093972,0.7382346200001699,0.7382346200001699,0.497093972,1.749610442,7.494910098704589,20.24565636766516,39.24876530297277,6.470948669801831,11.742361671440053,17.22199065713044,124187,184431,184431,124187,437100,1872430,5057909,9805397,1616617,2933558,4302516
Austria,1987,national,income,2011,1987,0,0,0,0,0,0.239697546,5.236643867,25.24737368736673,51.227983959524295,1.742009586,4.988507291,11.22377034,0,0,0,0,18156,396654,1912384,3880308,131950,377859,850154
Austria,1994,national,income,2011,1994,1,0.248399214,0.469808489,0.7325867794675099,0.248399214,1.936832796,9.467208071,28.931053538746347,50.962593869480855,5.486765867,9.467208071,15.994523197303682,19713,37285,58139,19713,153709,751329,2296003,4044452,435436,751329,1269344
Austria,1995,national,income,2011,1995,0,0.994031531,1.246500955,1.9950448377812304,0.994031531,5.249670602,16.99619896516395,37.74981011246068,57.99976304192034,8.748088552,13.49738351,19.74777881194019,79008,99075,158572,79008,417258,1350905,3000460,4609982,695322,1072810,1569608
Austria,1997,national,income,2011,1997,1,0.209077565,0.462170075,0.709260789,0.209077565,1.997400075,10.74302879058937,29.998950222146615,52.24035448680707,5.4847515942372205,9.4989603,16.472846140363558,16659,36826,56514,16659,159154,856009,2390329,4162533,437027,756881,1312563
Austria,2000,national,income,2011,2000,1,0.241608771,0.241608771,0.241608771,0,1.7205135903268505,7.988726437110941,25.66194549624217,46.73970201301142,4.155021425,8.96672199,14.49724847742851,19357,19357,19357,0,137840,640022,2055924,3744582,332882,718375,1161457
Austria,2003,national,income,2011,2003,2,0.332203258,0.401824608,0.6182506065130701,0.289452337,1.210405753,7.377033096,24.44429467045936,45.54321976268304,4.455787229,8.786674878,14.939452210800718,26980,32634,50211,23508,98302,599120,1985225,3698758,361873,713603,1213296
Austria,2004,national,income,2011,2004,2,0.081652888,0.142627834,0.287529184,0.071554614,0.953451939,5.780539565,21.72155934728765,41.96864174402224,3.765427965,8.485132084041789,15.361110314413228,6673,11655,23497,5847,77916,472384,1775078,3429663,307709,693402,1255305
Austria,2005,national,income,2011,2005,2,0.153690105,0.195621234,0.35345666,0.106911673,1.17297116,6.307362488828431,22.97081048897399,44.44603247,3.6851410749897098,7.946003718,14.71253640573416,12645,16095,29082,8797,96510,518959,1889999,3656944,303207,653784,1210522
Austria,2006,national,income,2011,2006,2,0.090110007,0.230414929,0.356683625,0.057253729,1.100329235,6.471613156,22.30267322072195,44.02570278881212,4.076932784,8.106210236992089,14.61934234,7451,19052,29493,4734,90982,535114,1844128,3640327,337107,670273,1208821
Austria,2007,national,income,2011,2007,2,0.372291729,0.598755673,0.7430533814742399,0.286963471,1.32367732,7.229681679,21.68793672200448,40.40322093,5.587208004,10.02735437240246,17.31913871,30883,49670,61640,23805,109805,599737,1799120,3351644,463486,831818,1436707
